Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210016.logjez,16004,0021,1015,0016,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,29157529
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210017.logjez,16004,0021,1015,0017,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,463440A9
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210018.logjez,16004,0021,0000,0018,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,407AC2E1
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210044.logjez,16004,0021,1015,0044,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,98D038AD
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210047.logjez,16004,0021,1015,0047,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,A6EE3907
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210048.logjez,16004,0021,1015,0048,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,F6F2E273
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210049.logjez,16004,0021,1023,0049,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,8036D93F
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210051.logjez,16004,0021,1023,0051,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,7714972F
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210053.logjez,16004,0021,1023,0053,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,65C0AEC5
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210056.logjez,16004,0021,1023,0056,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,101B3EA0
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210057.logjez,16004,0021,1023,0057,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,3E072760
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210058.logjez,16004,0021,1015,0058,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,4808E4B6
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210060.logjez,16004,0021,1023,0060,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,7AE0C7D2
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210061.logjez,16004,0021,1023,0061,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,3FB569D3
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1600400210063.logjez,16004,0021,1023,0063,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,9C47FF23
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1601200220001.logjez,16012,0022,1074,0001,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,9BC40FFD
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1601200220002.logjez,16012,0022,1074,0002,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,21913435
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1601200220003.logjez,16012,0022,1074,0003,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,B8F616EA
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1601200220004.logjez,16012,0022,1074,0004,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,D9BD5570
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1601200220005.logjez,16012,0022,1074,0005,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,F830290B
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1601200220006.logjez,16012,0022,1040,0006,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,D5886DD0
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1601200220007.logjez,16012,0022,1040,0007,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,D416D23A
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1601200220008.logjez,16012,0022,1058,0008,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,C8C91F73
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1601200220009.logjez,16012,0022,1058,0009,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,01D10B86
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1601200220010.logjez,16012,0022,0000,0010,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,B97E80B4
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1601200220011.logjez,16012,0022,1058,0011,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,3FB0C08E
bu_imgbu_logjez_rdv_vscmr_2022_2t_RN,o00407-1601200220012.logjez,16012,0022,1040,0012,8.26.0.0 - Onça-pintada,2º turno,UE2010,Oficial,88C5ED7F
