estado,municipio,municipio_cod,zona,secao,candidato_13,candidato_22
am,APUÍ,2003,67,1,114,162
am,APUÍ,2003,67,2,93,174
am,APUÍ,2003,67,3,113,196
am,APUÍ,2003,67,5,57,99
am,APUÍ,2003,67,6,106,190
am,APUÍ,2003,67,8,109,180
am,APUÍ,2003,67,9,128,187
am,APUÍ,2003,67,11,118,203
am,APUÍ,2003,67,12,115,208
am,APUÍ,2003,67,14,127,170
am,APUÍ,2003,67,17,130,201
am,APUÍ,2003,67,19,84,158
am,APUÍ,2003,67,20,91,132
am,APUÍ,2003,67,21,85,157
am,APUÍ,2003,67,22,86,143
am,APUÍ,2003,67,23,87,145
am,APUÍ,2003,67,24,91,150
am,APUÍ,2003,67,25,79,146
am,APUÍ,2003,67,26,94,272
am,APUÍ,2003,67,28,78,218
am,APUÍ,2003,67,29,100,183
am,APUÍ,2003,67,30,135,253
am,APUÍ,2003,67,31,56,70
am,APUÍ,2003,67,32,138,147
am,APUÍ,2003,67,34,100,173
am,APUÍ,2003,67,36,68,164
am,APUÍ,2003,67,37,36,111
am,APUÍ,2003,67,39,21,21
am,APUÍ,2003,67,40,92,181
am,APUÍ,2003,67,43,78,130
am,NOVO AIRÃO,2011,34,1,136,130
am,NOVO AIRÃO,2011,34,2,137,138
am,NOVO AIRÃO,2011,34,3,145,130
am,NOVO AIRÃO,2011,34,4,163,111
am,NOVO AIRÃO,2011,34,5,166,97
am,NOVO AIRÃO,2011,34,6,139,123
am,NOVO AIRÃO,2011,34,7,132,138
am,NOVO AIRÃO,2011,34,8,129,144
am,NOVO AIRÃO,2011,34,9,166,120
am,NOVO AIRÃO,2011,34,10,164,129
am,NOVO AIRÃO,2011,34,11,131,127
am,NOVO AIRÃO,2011,34,12,139,109
am,NOVO AIRÃO,2011,34,13,132,120
am,NOVO AIRÃO,2011,34,14,140,133
am,NOVO AIRÃO,2011,34,15,148,124
am,NOVO AIRÃO,2011,34,16,137,110
am,NOVO AIRÃO,2011,34,17,147,126
am,NOVO AIRÃO,2011,34,18,32,8
am,NOVO AIRÃO,2011,34,20,34,19
am,NOVO AIRÃO,2011,34,26,46,42
am,NOVO AIRÃO,2011,34,27,42,54
am,NOVO AIRÃO,2011,34,29,107,145
am,NOVO AIRÃO,2011,34,30,148,136
am,NOVO AIRÃO,2011,34,31,129,137
am,NOVO AIRÃO,2011,34,32,140,126
am,NOVO AIRÃO,2011,34,33,131,110
am,NOVO AIRÃO,2011,34,34,140,104
am,NOVO AIRÃO,2011,34,35,108,105
am,NOVO AIRÃO,2011,34,36,103,114
am,NOVO AIRÃO,2011,34,37,122,117
am,NOVO AIRÃO,2011,34,38,117,117
am,NOVO AIRÃO,2011,34,39,65,92
am,NOVO AIRÃO,2011,34,40,154,115
am,NOVO AIRÃO,2011,34,41,97,77
am,GUAJARÁ,2020,45,15,72,75
am,GUAJARÁ,2020,45,16,75,80
am,GUAJARÁ,2020,45,17,67,79
am,GUAJARÁ,2020,45,18,94,112
am,GUAJARÁ,2020,45,19,87,105
am,GUAJARÁ,2020,45,20,107,105
am,GUAJARÁ,2020,45,21,100,102
am,GUAJARÁ,2020,45,22,73,74
am,GUAJARÁ,2020,45,23,70,83
am,GUAJARÁ,2020,45,25,116,167
am,GUAJARÁ,2020,45,26,89,126
am,GUAJARÁ,2020,45,28,95,112
am,GUAJARÁ,2020,45,29,97,127
am,GUAJARÁ,2020,45,30,61,89
am,GUAJARÁ,2020,45,31,68,87
am,GUAJARÁ,2020,45,32,69,155
am,GUAJARÁ,2020,45,33,100,172
am,GUAJARÁ,2020,45,38,114,156
am,GUAJARÁ,2020,45,39,63,92
am,GUAJARÁ,2020,45,40,88,168
am,GUAJARÁ,2020,45,42,94,118
am,GUAJARÁ,2020,45,44,101,166
am,GUAJARÁ,2020,45,47,90,194
am,GUAJARÁ,2020,45,48,116,173
am,GUAJARÁ,2020,45,49,43,45
am,GUAJARÁ,2020,45,53,77,190
am,GUAJARÁ,2020,45,54,95,169
am,GUAJARÁ,2020,45,55,97,167
am,GUAJARÁ,2020,45,64,21,67
am,GUAJARÁ,2020,45,65,38,214
am,GUAJARÁ,2020,45,69,100,169
am,GUAJARÁ,2020,45,70,92,165
am,GUAJARÁ,2020,45,71,91,172
am,GUAJARÁ,2020,45,74,131,132
am,ANORI,2038,33,1,136,92
am,ANORI,2038,33,2,132,92
am,ANORI,2038,33,3,149,95
am,ANORI,2038,33,4,139,95
am,ANORI,2038,33,5,141,95
am,ANORI,2038,33,6,126,107
am,ANORI,2038,33,7,135,109
am,ANORI,2038,33,8,128,86
am,ANORI,2038,33,14,136,87
am,ANORI,2038,33,15,144,90
am,ANORI,2038,33,16,142,95
am,ANORI,2038,33,19,144,100
am,ANORI,2038,33,20,151,125
am,ANORI,2038,33,21,178,117
am,ANORI,2038,33,22,165,128
am,ANORI,2038,33,26,164,127
am,ANORI,2038,33,31,140,110
am,ANORI,2038,33,32,151,122
am,ANORI,2038,33,33,131,101
am,ANORI,2038,33,34,131,92
am,ANORI,2038,33,35,116,116
am,ANORI,2038,33,36,142,86
am,ANORI,2038,33,39,127,101
am,ANORI,2038,33,40,130,157
am,ANORI,2038,33,41,41,18
am,ANORI,2038,33,42,118,102
am,ANORI,2038,33,43,107,106
am,ANORI,2038,33,44,106,97
am,ANORI,2038,33,45,109,112
am,ANORI,2038,33,46,151,76
am,CAREIRO DA VÁRZEA,2046,31,748,198,38
am,CAREIRO DA VÁRZEA,2046,31,749,218,43
am,CAREIRO DA VÁRZEA,2046,31,750,154,62
am,CAREIRO DA VÁRZEA,2046,31,751,128,66
am,CAREIRO DA VÁRZEA,2046,31,752,149,66
am,CAREIRO DA VÁRZEA,2046,31,753,142,64
am,CAREIRO DA VÁRZEA,2046,31,754,154,74
am,CAREIRO DA VÁRZEA,2046,31,755,109,52
am,CAREIRO DA VÁRZEA,2046,31,756,92,82
am,CAREIRO DA VÁRZEA,2046,31,757,168,121
am,CAREIRO DA VÁRZEA,2046,31,758,145,131
am,CAREIRO DA VÁRZEA,2046,31,759,163,126
am,CAREIRO DA VÁRZEA,2046,31,760,148,115
am,CAREIRO DA VÁRZEA,2046,31,761,127,117
am,CAREIRO DA VÁRZEA,2046,31,762,129,78
am,CAREIRO DA VÁRZEA,2046,31,763,126,104
am,CAREIRO DA VÁRZEA,2046,31,764,135,73
am,CAREIRO DA VÁRZEA,2046,31,765,133,89
am,CAREIRO DA VÁRZEA,2046,31,766,112,97
am,CAREIRO DA VÁRZEA,2046,31,767,120,97
am,CAREIRO DA VÁRZEA,2046,31,768,110,105
am,CAREIRO DA VÁRZEA,2046,31,769,109,89
am,CAREIRO DA VÁRZEA,2046,31,770,97,85
am,CAREIRO DA VÁRZEA,2046,31,771,100,78
am,CAREIRO DA VÁRZEA,2046,31,772,97,84
am,CAREIRO DA VÁRZEA,2046,31,773,94,94
am,CAREIRO DA VÁRZEA,2046,31,774,106,59
am,CAREIRO DA VÁRZEA,2046,31,775,132,51
am,CAREIRO DA VÁRZEA,2046,31,776,145,142
am,CAREIRO DA VÁRZEA,2046,31,778,154,127
am,CAREIRO DA VÁRZEA,2046,31,780,77,72
am,CAREIRO DA VÁRZEA,2046,31,781,244,72
am,CAREIRO DA VÁRZEA,2046,31,784,189,90
am,CAREIRO DA VÁRZEA,2046,31,786,204,76
am,CAREIRO DA VÁRZEA,2046,31,788,95,50
am,CAREIRO DA VÁRZEA,2046,31,789,117,79
am,CAREIRO DA VÁRZEA,2046,31,790,122,78
am,CAREIRO DA VÁRZEA,2046,31,791,123,70
am,CAREIRO DA VÁRZEA,2046,31,792,172,65
am,CAREIRO DA VÁRZEA,2046,31,794,171,67
am,CAREIRO DA VÁRZEA,2046,31,796,154,70
am,CAREIRO DA VÁRZEA,2046,31,798,187,80
am,CAREIRO DA VÁRZEA,2046,31,800,186,75
am,CAREIRO DA VÁRZEA,2046,31,801,62,98
am,CAREIRO DA VÁRZEA,2046,31,802,118,136
am,CAREIRO DA VÁRZEA,2046,31,804,128,100
am,CAREIRO DA VÁRZEA,2046,31,805,83,16
am,CAREIRO DA VÁRZEA,2046,31,808,175,55
am,CAREIRO DA VÁRZEA,2046,31,809,106,42
am,CAREIRO DA VÁRZEA,2046,31,810,151,119
am,CAREIRO DA VÁRZEA,2046,31,811,64,44
am,CAREIRO DA VÁRZEA,2046,31,812,60,20
am,ATALAIA DO NORTE,2054,42,1,184,66
am,ATALAIA DO NORTE,2054,42,2,157,69
am,ATALAIA DO NORTE,2054,42,3,167,54
am,ATALAIA DO NORTE,2054,42,4,171,43
am,ATALAIA DO NORTE,2054,42,5,174,40
am,ATALAIA DO NORTE,2054,42,6,54,84
am,ATALAIA DO NORTE,2054,42,7,134,15
am,ATALAIA DO NORTE,2054,42,8,150,46
am,ATALAIA DO NORTE,2054,42,9,177,54
am,ATALAIA DO NORTE,2054,42,10,171,51
am,ATALAIA DO NORTE,2054,42,11,172,51
am,ATALAIA DO NORTE,2054,42,12,190,47
am,ATALAIA DO NORTE,2054,42,13,182,51
am,ATALAIA DO NORTE,2054,42,14,163,40
am,ATALAIA DO NORTE,2054,42,15,164,62
am,ATALAIA DO NORTE,2054,42,18,166,54
am,ATALAIA DO NORTE,2054,42,19,171,62
am,ATALAIA DO NORTE,2054,42,20,166,37
am,ATALAIA DO NORTE,2054,42,21,166,64
am,ATALAIA DO NORTE,2054,42,22,166,48
am,ATALAIA DO NORTE,2054,42,25,138,0
am,ATALAIA DO NORTE,2054,42,26,257,1
am,ATALAIA DO NORTE,2054,42,27,178,19
am,ATALAIA DO NORTE,2054,42,28,127,0
am,ATALAIA DO NORTE,2054,42,29,175,0
am,ATALAIA DO NORTE,2054,42,30,107,1
am,ATALAIA DO NORTE,2054,42,35,177,33
am,ATALAIA DO NORTE,2054,42,36,149,44
am,ATALAIA DO NORTE,2054,42,37,107,0
am,AUTAZES,2070,35,1,118,84
am,AUTAZES,2070,35,2,136,101
am,AUTAZES,2070,35,3,123,88
am,AUTAZES,2070,35,4,149,22
am,AUTAZES,2070,35,5,218,137
am,AUTAZES,2070,35,6,221,136
am,AUTAZES,2070,35,7,145,92
am,AUTAZES,2070,35,8,152,84
am,AUTAZES,2070,35,9,228,136
am,AUTAZES,2070,35,10,138,99
am,AUTAZES,2070,35,11,158,71
am,AUTAZES,2070,35,12,152,77
am,AUTAZES,2070,35,13,156,45
am,AUTAZES,2070,35,14,171,39
am,AUTAZES,2070,35,15,255,68
am,AUTAZES,2070,35,16,132,89
am,AUTAZES,2070,35,17,134,85
am,AUTAZES,2070,35,18,154,68
am,AUTAZES,2070,35,19,151,52
am,AUTAZES,2070,35,21,152,30
am,AUTAZES,2070,35,22,226,106
am,AUTAZES,2070,35,23,233,136
am,AUTAZES,2070,35,24,207,150
am,AUTAZES,2070,35,25,253,64
am,AUTAZES,2070,35,26,142,96
am,AUTAZES,2070,35,28,149,88
am,AUTAZES,2070,35,30,151,97
am,AUTAZES,2070,35,31,147,87
am,AUTAZES,2070,35,32,141,104
am,AUTAZES,2070,35,33,129,33
am,AUTAZES,2070,35,34,132,96
am,AUTAZES,2070,35,35,146,81
am,AUTAZES,2070,35,36,131,101
am,AUTAZES,2070,35,38,151,71
am,AUTAZES,2070,35,39,121,50
am,AUTAZES,2070,35,40,54,19
am,AUTAZES,2070,35,43,139,109
am,AUTAZES,2070,35,44,162,62
am,AUTAZES,2070,35,45,150,25
am,AUTAZES,2070,35,46,146,91
am,AUTAZES,2070,35,47,144,88
am,AUTAZES,2070,35,48,199,55
am,AUTAZES,2070,35,49,185,131
am,AUTAZES,2070,35,51,107,56
am,AUTAZES,2070,35,52,132,94
am,AUTAZES,2070,35,53,142,93
am,AUTAZES,2070,35,54,125,101
am,AUTAZES,2070,35,56,163,123
am,AUTAZES,2070,35,57,126,97
am,AUTAZES,2070,35,58,136,90
am,AUTAZES,2070,35,59,130,85
am,AUTAZES,2070,35,61,145,58
am,AUTAZES,2070,35,62,137,91
am,AUTAZES,2070,35,63,147,89
am,AUTAZES,2070,35,64,123,106
am,AUTAZES,2070,35,66,106,91
am,AUTAZES,2070,35,67,133,90
am,AUTAZES,2070,35,69,126,87
am,AUTAZES,2070,35,70,104,97
am,AUTAZES,2070,35,71,111,92
am,AUTAZES,2070,35,72,137,79
am,AUTAZES,2070,35,74,143,78
am,AUTAZES,2070,35,75,120,103
am,AUTAZES,2070,35,76,27,26
am,AUTAZES,2070,35,77,101,92
am,AUTAZES,2070,35,78,129,81
am,AUTAZES,2070,35,79,175,69
am,AUTAZES,2070,35,80,73,42
am,AUTAZES,2070,35,81,179,16
am,AUTAZES,2070,35,82,127,76
am,AUTAZES,2070,35,83,124,59
am,AUTAZES,2070,35,85,102,96
am,AUTAZES,2070,35,88,108,61
am,AUTAZES,2070,35,89,113,68
am,AUTAZES,2070,35,90,72,78
am,AUTAZES,2070,35,91,99,59
am,AUTAZES,2070,35,92,264,65
am,AUTAZES,2070,35,141,190,58
am,AUTAZES,2070,35,142,55,19
am,AUTAZES,2070,35,145,84,83
am,AUTAZES,2070,35,148,73,29
am,AUTAZES,2070,35,154,113,88
am,AUTAZES,2070,35,155,304,32
am,AUTAZES,2070,35,158,181,158
am,AUTAZES,2070,35,162,116,108
am,BARCELOS,2097,18,1,138,55
am,BARCELOS,2097,18,2,197,86
am,BARCELOS,2097,18,3,33,13
am,BARCELOS,2097,18,4,172,88
am,BARCELOS,2097,18,5,191,90
am,BARCELOS,2097,18,6,178,80
am,BARCELOS,2097,18,7,183,88
am,BARCELOS,2097,18,8,173,95
am,BARCELOS,2097,18,9,127,78
am,BARCELOS,2097,18,10,166,67
am,BARCELOS,2097,18,11,176,92
am,BARCELOS,2097,18,12,215,121
am,BARCELOS,2097,18,13,144,114
am,BARCELOS,2097,18,14,143,79
am,BARCELOS,2097,18,15,180,115
am,BARCELOS,2097,18,16,167,112
am,BARCELOS,2097,18,17,176,94
am,BARCELOS,2097,18,18,181,100
am,BARCELOS,2097,18,19,136,80
am,BARCELOS,2097,18,20,193,97
am,BARCELOS,2097,18,21,190,91
am,BARCELOS,2097,18,22,156,89
am,BARCELOS,2097,18,23,78,25
am,BARCELOS,2097,18,24,160,88
am,BARCELOS,2097,18,25,65,12
am,BARCELOS,2097,18,27,163,99
am,BARCELOS,2097,18,28,156,85
am,BARCELOS,2097,18,29,146,91
am,BARCELOS,2097,18,30,131,79
am,BARCELOS,2097,18,32,102,80
am,BARREIRINHA,2119,26,1,265,31
am,BARREIRINHA,2119,26,2,245,37
am,BARREIRINHA,2119,26,3,263,26
am,BARREIRINHA,2119,26,4,277,26
am,BARREIRINHA,2119,26,5,238,33
am,BARREIRINHA,2119,26,6,245,32
am,BARREIRINHA,2119,26,7,264,33
am,BARREIRINHA,2119,26,8,217,17
am,BARREIRINHA,2119,26,9,209,21
am,BARREIRINHA,2119,26,10,198,25
am,BARREIRINHA,2119,26,11,196,30
am,BARREIRINHA,2119,26,12,255,13
am,BARREIRINHA,2119,26,13,239,14
am,BARREIRINHA,2119,26,14,193,9
am,BARREIRINHA,2119,26,15,192,3
am,BARREIRINHA,2119,26,16,168,15
am,BARREIRINHA,2119,26,17,182,19
am,BARREIRINHA,2119,26,18,196,17
am,BARREIRINHA,2119,26,19,240,20
am,BARREIRINHA,2119,26,20,212,17
am,BARREIRINHA,2119,26,21,255,38
am,BARREIRINHA,2119,26,22,253,41
am,BARREIRINHA,2119,26,23,202,6
am,BARREIRINHA,2119,26,24,233,4
am,BARREIRINHA,2119,26,25,198,23
am,BARREIRINHA,2119,26,26,213,26
am,BARREIRINHA,2119,26,27,295,46
am,BARREIRINHA,2119,26,28,278,33
am,BARREIRINHA,2119,26,29,217,9
am,BARREIRINHA,2119,26,31,198,13
am,BARREIRINHA,2119,26,32,259,3
am,BARREIRINHA,2119,26,33,309,27
am,BARREIRINHA,2119,26,34,167,6
am,BARREIRINHA,2119,26,35,204,16
am,BARREIRINHA,2119,26,36,292,32
am,BARREIRINHA,2119,26,37,200,24
am,BARREIRINHA,2119,26,38,266,29
am,BARREIRINHA,2119,26,39,260,41
am,BARREIRINHA,2119,26,40,286,38
am,BARREIRINHA,2119,26,41,213,23
am,BARREIRINHA,2119,26,42,303,25
am,BARREIRINHA,2119,26,43,183,9
am,BARREIRINHA,2119,26,44,243,40
am,BARREIRINHA,2119,26,45,299,22
am,BARREIRINHA,2119,26,46,181,6
am,BARREIRINHA,2119,26,47,256,37
am,BARREIRINHA,2119,26,49,156,25
am,BARREIRINHA,2119,26,50,223,9
am,BARREIRINHA,2119,26,51,183,11
am,BARREIRINHA,2119,26,52,256,31
am,BARREIRINHA,2119,26,53,149,26
am,BARREIRINHA,2119,26,54,259,26
am,BARREIRINHA,2119,26,55,266,33
am,BARREIRINHA,2119,26,56,237,33
am,BARREIRINHA,2119,26,57,219,10
am,BARREIRINHA,2119,26,58,204,2
am,BARREIRINHA,2119,26,59,198,19
am,BARREIRINHA,2119,26,60,274,41
am,BARREIRINHA,2119,26,61,160,5
am,BARREIRINHA,2119,26,62,301,1
am,BARREIRINHA,2119,26,63,237,0
am,BENJAMIN CONSTANT,2135,20,8,196,52
am,BENJAMIN CONSTANT,2135,20,9,183,72
am,BENJAMIN CONSTANT,2135,20,10,200,54
am,BENJAMIN CONSTANT,2135,20,11,185,75
am,BENJAMIN CONSTANT,2135,20,12,228,71
am,BENJAMIN CONSTANT,2135,20,13,130,33
am,BENJAMIN CONSTANT,2135,20,14,226,65
am,BENJAMIN CONSTANT,2135,20,15,218,82
am,BENJAMIN CONSTANT,2135,20,16,198,41
am,BENJAMIN CONSTANT,2135,20,17,198,42
am,BENJAMIN CONSTANT,2135,20,18,225,64
am,BENJAMIN CONSTANT,2135,20,19,200,65
am,BENJAMIN CONSTANT,2135,20,20,198,58
am,BENJAMIN CONSTANT,2135,20,21,189,57
am,BENJAMIN CONSTANT,2135,20,22,225,22
am,BENJAMIN CONSTANT,2135,20,23,228,23
am,BENJAMIN CONSTANT,2135,20,24,201,14
am,BENJAMIN CONSTANT,2135,20,25,88,19
am,BENJAMIN CONSTANT,2135,20,26,237,27
am,BENJAMIN CONSTANT,2135,20,27,190,21
am,BENJAMIN CONSTANT,2135,20,52,264,3
am,BENJAMIN CONSTANT,2135,20,53,257,10
am,BENJAMIN CONSTANT,2135,20,54,208,46
am,BENJAMIN CONSTANT,2135,20,55,199,63
am,BENJAMIN CONSTANT,2135,20,56,215,11
am,BENJAMIN CONSTANT,2135,20,58,212,17
am,BENJAMIN CONSTANT,2135,20,59,207,50
am,BENJAMIN CONSTANT,2135,20,62,322,9
am,BENJAMIN CONSTANT,2135,20,63,211,66
am,BENJAMIN CONSTANT,2135,20,64,205,63
am,BENJAMIN CONSTANT,2135,20,65,201,47
am,BENJAMIN CONSTANT,2135,20,66,203,36
am,BENJAMIN CONSTANT,2135,20,67,278,3
am,BENJAMIN CONSTANT,2135,20,68,276,3
am,BENJAMIN CONSTANT,2135,20,69,174,8
am,BENJAMIN CONSTANT,2135,20,70,234,68
am,BENJAMIN CONSTANT,2135,20,72,198,73
am,BENJAMIN CONSTANT,2135,20,75,211,41
am,BENJAMIN CONSTANT,2135,20,76,198,58
am,BENJAMIN CONSTANT,2135,20,77,186,71
