estado,municipio,municipio_cod,zona,secao,candidato_13,candidato_22
rn,TENENTE LAURENTINO CRUZ,16004,21,16,201,47
rn,TENENTE LAURENTINO CRUZ,16004,21,17,190,51
rn,TENENTE LAURENTINO CRUZ,16004,21,18,189,48
rn,TENENTE LAURENTINO CRUZ,16004,21,44,216,42
rn,TENENTE LAURENTINO CRUZ,16004,21,47,188,53
rn,TENENTE LAURENTINO CRUZ,16004,21,48,198,64
rn,TENENTE LAURENTINO CRUZ,16004,21,49,203,92
rn,TENENTE LAURENTINO CRUZ,16004,21,51,228,86
rn,TENENTE LAURENTINO CRUZ,16004,21,53,233,83
rn,TENENTE LAURENTINO CRUZ,16004,21,56,207,95
rn,TENENTE LAURENTINO CRUZ,16004,21,57,219,89
rn,TENENTE LAURENTINO CRUZ,16004,21,58,165,71
rn,TENENTE LAURENTINO CRUZ,16004,21,60,199,88
rn,TENENTE LAURENTINO CRUZ,16004,21,61,204,90
rn,TENENTE LAURENTINO CRUZ,16004,21,63,205,101
rn,ACARI,16012,22,1,175,82
rn,ACARI,16012,22,2,153,86
rn,ACARI,16012,22,3,159,81
rn,ACARI,16012,22,4,180,78
rn,ACARI,16012,22,5,172,88
rn,ACARI,16012,22,6,180,92
rn,ACARI,16012,22,7,180,93
rn,ACARI,16012,22,8,178,63
rn,ACARI,16012,22,9,160,75
rn,ACARI,16012,22,10,164,73
rn,ACARI,16012,22,11,167,88
rn,ACARI,16012,22,12,207,83
rn,ACARI,16012,22,13,182,95
rn,ACARI,16012,22,14,189,90
rn,ACARI,16012,22,15,187,82
rn,ACARI,16012,22,16,187,57
rn,ACARI,16012,22,17,161,87
rn,ACARI,16012,22,18,175,73
rn,ACARI,16012,22,19,180,79
rn,ACARI,16012,22,20,133,78
rn,ACARI,16012,22,21,146,55
rn,ACARI,16012,22,33,176,106
rn,ACARI,16012,22,34,195,87
rn,ACARI,16012,22,35,203,96
rn,ACARI,16012,22,36,147,65
rn,ACARI,16012,22,37,151,54
rn,ACARI,16012,22,38,139,81
rn,ACARI,16012,22,39,129,71
rn,ACARI,16012,22,44,177,67
rn,SERRA DO MEL,16020,58,16,152,129
rn,SERRA DO MEL,16020,58,17,156,111
rn,SERRA DO MEL,16020,58,18,153,133
rn,SERRA DO MEL,16020,58,19,147,132
rn,SERRA DO MEL,16020,58,20,146,134
rn,SERRA DO MEL,16020,58,21,142,129
rn,SERRA DO MEL,16020,58,22,148,132
rn,SERRA DO MEL,16020,58,23,133,138
rn,SERRA DO MEL,16020,58,24,148,131
rn,SERRA DO MEL,16020,58,25,127,147
rn,SERRA DO MEL,16020,58,26,143,126
rn,SERRA DO MEL,16020,58,27,114,36
rn,SERRA DO MEL,16020,58,28,123,46
rn,SERRA DO MEL,16020,58,29,103,44
rn,SERRA DO MEL,16020,58,30,128,22
rn,SERRA DO MEL,16020,58,31,131,28
rn,SERRA DO MEL,16020,58,32,120,36
rn,SERRA DO MEL,16020,58,33,118,36
rn,SERRA DO MEL,16020,58,34,193,72
rn,SERRA DO MEL,16020,58,39,96,34
rn,SERRA DO MEL,16020,58,40,118,100
rn,SERRA DO MEL,16020,58,41,97,111
rn,SERRA DO MEL,16020,58,42,149,98
rn,SERRA DO MEL,16020,58,43,81,70
rn,SERRA DO MEL,16020,58,44,178,114
rn,SERRA DO MEL,16020,58,45,208,53
rn,SERRA DO MEL,16020,58,46,157,49
rn,SERRA DO MEL,16020,58,47,194,120
rn,SERRA DO MEL,16020,58,48,214,90
rn,SERRA DO MEL,16020,58,49,241,92
rn,SERRA DO MEL,16020,58,50,123,54
rn,SERRA DO MEL,16020,58,52,124,53
rn,SERRA DO MEL,16020,58,53,118,49
rn,SERRA DO MEL,16020,58,54,124,66
rn,SERRA DO MEL,16020,58,56,107,72
rn,SERRA DO MEL,16020,58,57,112,66
rn,SERRA DO MEL,16020,58,59,191,66
rn,SERRA DO MEL,16020,58,60,165,36
rn,SERRA DO MEL,16020,58,61,165,29
rn,SERRA DO MEL,16020,58,62,202,62
rn,SERRA DO MEL,16020,58,64,81,15
rn,SERRA DO MEL,16020,58,138,60,46
rn,ASSÚ,16039,29,1,175,84
rn,ASSÚ,16039,29,2,186,79
rn,ASSÚ,16039,29,3,186,81
rn,ASSÚ,16039,29,4,166,85
rn,ASSÚ,16039,29,5,188,69
rn,ASSÚ,16039,29,6,168,82
rn,ASSÚ,16039,29,7,203,68
rn,ASSÚ,16039,29,8,206,52
rn,ASSÚ,16039,29,9,226,81
rn,ASSÚ,16039,29,10,219,73
rn,ASSÚ,16039,29,11,227,71
rn,ASSÚ,16039,29,12,210,71
rn,ASSÚ,16039,29,13,217,83
rn,ASSÚ,16039,29,14,216,81
rn,ASSÚ,16039,29,15,214,76
rn,ASSÚ,16039,29,16,216,72
rn,ASSÚ,16039,29,17,215,80
rn,ASSÚ,16039,29,18,229,67
rn,ASSÚ,16039,29,19,233,74
rn,ASSÚ,16039,29,20,219,76
rn,ASSÚ,16039,29,21,219,64
rn,ASSÚ,16039,29,22,230,65
rn,ASSÚ,16039,29,23,189,59
rn,ASSÚ,16039,29,24,170,53
rn,ASSÚ,16039,29,25,198,92
rn,ASSÚ,16039,29,26,197,89
rn,ASSÚ,16039,29,27,212,78
rn,ASSÚ,16039,29,28,156,91
rn,ASSÚ,16039,29,29,176,86
rn,ASSÚ,16039,29,30,214,94
rn,ASSÚ,16039,29,31,239,83
rn,ASSÚ,16039,29,32,223,81
rn,ASSÚ,16039,29,33,233,86
rn,ASSÚ,16039,29,34,220,93
rn,ASSÚ,16039,29,35,191,69
rn,ASSÚ,16039,29,36,194,52
rn,ASSÚ,16039,29,37,199,52
rn,ASSÚ,16039,29,38,206,41
rn,ASSÚ,16039,29,39,209,41
rn,ASSÚ,16039,29,40,206,34
rn,ASSÚ,16039,29,41,204,39
rn,ASSÚ,16039,29,42,206,39
rn,ASSÚ,16039,29,43,211,33
rn,ASSÚ,16039,29,44,196,40
rn,ASSÚ,16039,29,45,253,39
rn,ASSÚ,16039,29,46,228,50
rn,ASSÚ,16039,29,47,220,41
rn,ASSÚ,16039,29,48,221,39
rn,ASSÚ,16039,29,49,178,33
rn,ASSÚ,16039,29,50,190,40
rn,ASSÚ,16039,29,51,158,46
rn,ASSÚ,16039,29,52,143,42
rn,ASSÚ,16039,29,53,197,66
rn,ASSÚ,16039,29,54,200,68
rn,ASSÚ,16039,29,55,202,59
rn,ASSÚ,16039,29,56,195,75
rn,ASSÚ,16039,29,57,211,63
rn,ASSÚ,16039,29,58,219,61
rn,ASSÚ,16039,29,59,209,89
rn,ASSÚ,16039,29,60,218,71
rn,ASSÚ,16039,29,61,189,87
rn,ASSÚ,16039,29,62,218,79
rn,ASSÚ,16039,29,63,174,77
rn,ASSÚ,16039,29,64,170,95
rn,ASSÚ,16039,29,65,248,65
rn,ASSÚ,16039,29,66,245,73
rn,ASSÚ,16039,29,116,223,65
rn,ASSÚ,16039,29,117,200,61
rn,ASSÚ,16039,29,118,217,95
rn,ASSÚ,16039,29,119,193,66
rn,ASSÚ,16039,29,120,242,41
rn,ASSÚ,16039,29,121,183,43
rn,ASSÚ,16039,29,122,153,39
rn,ASSÚ,16039,29,123,207,76
rn,ASSÚ,16039,29,124,214,82
rn,ASSÚ,16039,29,125,173,89
rn,ASSÚ,16039,29,126,239,87
rn,ASSÚ,16039,29,128,240,91
rn,ASSÚ,16039,29,142,202,84
rn,ASSÚ,16039,29,145,186,27
rn,ASSÚ,16039,29,148,221,38
rn,ASSÚ,16039,29,149,178,83
rn,ASSÚ,16039,29,150,199,94
rn,ASSÚ,16039,29,151,225,88
rn,ASSÚ,16039,29,156,223,42
rn,ASSÚ,16039,29,157,225,26
rn,ASSÚ,16039,29,158,234,72
rn,ASSÚ,16039,29,160,229,56
rn,ASSÚ,16039,29,161,190,42
rn,ASSÚ,16039,29,163,195,69
rn,ASSÚ,16039,29,164,232,95
rn,ASSÚ,16039,29,169,209,78
rn,ASSÚ,16039,29,172,196,74
rn,ASSÚ,16039,29,174,233,70
rn,ASSÚ,16039,29,175,231,98
rn,ASSÚ,16039,29,176,212,79
rn,ASSÚ,16039,29,177,233,57
rn,ASSÚ,16039,29,178,176,88
rn,ASSÚ,16039,29,182,231,100
rn,ASSÚ,16039,29,185,215,79
rn,ASSÚ,16039,29,194,229,84
rn,ASSÚ,16039,29,195,203,89
rn,ASSÚ,16039,29,196,192,92
rn,ASSÚ,16039,29,198,189,91
rn,ASSÚ,16039,29,202,185,79
rn,ASSÚ,16039,29,205,217,90
rn,ASSÚ,16039,29,206,204,66
rn,ASSÚ,16039,29,210,233,72
rn,ASSÚ,16039,29,211,194,35
rn,ASSÚ,16039,29,212,199,102
rn,ASSÚ,16039,29,214,192,69
rn,ASSÚ,16039,29,215,221,72
rn,ASSÚ,16039,29,217,202,77
rn,ASSÚ,16039,29,221,196,45
rn,ASSÚ,16039,29,222,212,73
rn,ASSÚ,16039,29,228,218,79
rn,ASSÚ,16039,29,231,227,94
rn,ASSÚ,16039,29,235,200,44
rn,ASSÚ,16039,29,236,210,64
rn,ASSÚ,16039,29,238,214,83
rn,ASSÚ,16039,29,239,189,80
rn,ASSÚ,16039,29,240,196,74
rn,ASSÚ,16039,29,241,201,88
rn,ASSÚ,16039,29,243,188,65
rn,ASSÚ,16039,29,245,178,57
rn,ASSÚ,16039,29,247,186,57
rn,ASSÚ,16039,29,248,71,21
rn,CAIÇARA DO NORTE,16047,52,20,156,87
rn,CAIÇARA DO NORTE,16047,52,21,141,59
rn,CAIÇARA DO NORTE,16047,52,22,152,93
rn,CAIÇARA DO NORTE,16047,52,23,141,59
