estado,municipio,zona,secao,candidato_13,candidato_22
rr,3000,4,11,36,139
rr,3000,4,12,34,139
rr,3000,4,13,27,139
rr,3000,4,14,51,189
rr,3000,4,15,45,189
rr,3000,4,16,35,159
rr,3000,4,17,38,189
rr,3000,4,18,28,195
rr,3000,4,19,33,160
rr,3000,4,20,41,157
rr,3000,4,53,27,146
rr,3000,4,63,127,22
rr,3000,4,64,39,135
rr,3000,4,65,52,138
rr,3000,4,74,27,186
rr,3000,4,75,31,202
rr,3000,4,84,54,258
rr,3000,4,89,30,153
rr,3000,4,92,35,139
rr,3000,4,99,32,128
rr,3000,4,104,23,205
rr,3000,4,107,33,140
rr,3000,4,123,34,190
rr,3000,4,125,27,132
rr,3000,4,126,33,129
rr,3000,4,131,47,177
rr,3018,1,1,51,184
rr,3018,1,2,44,199
rr,3018,1,3,46,197
rr,3018,1,4,60,189
rr,3018,1,5,56,180
rr,3018,1,6,50,190
rr,3018,1,7,48,159
rr,3018,1,20,34,132
rr,3018,1,22,49,177
rr,3018,1,23,67,202
rr,3018,1,24,47,126
rr,3018,1,25,43,125
rr,3018,1,26,49,222
rr,3018,1,27,31,144
rr,3018,1,28,40,196
rr,3018,1,29,45,186
rr,3018,1,30,38,179
rr,3018,1,31,45,172
rr,3018,1,32,44,251
rr,3018,1,35,67,235
rr,3018,1,37,61,219
rr,3018,1,38,56,195
rr,3018,1,39,65,203
rr,3018,1,40,58,193
rr,3018,1,41,52,211
rr,3018,1,42,67,249
rr,3018,1,43,58,205
rr,3018,1,44,65,193
rr,3018,1,45,59,194
rr,3018,1,46,40,147
rr,3018,1,47,39,157
rr,3018,1,48,55,176
rr,3018,1,49,54,178
rr,3018,1,50,48,162
rr,3018,1,52,62,181
rr,3018,1,53,47,172
rr,3018,1,54,56,173
rr,3018,1,55,54,174
rr,3018,1,56,53,250
rr,3018,1,58,50,216
rr,3018,1,59,44,204
rr,3018,1,60,37,165
rr,3018,1,63,60,232
rr,3018,1,64,59,218
rr,3018,1,65,50,227
rr,3018,1,67,45,229
rr,3018,1,68,44,175
rr,3018,1,69,51,239
rr,3018,1,70,50,145
rr,3018,1,71,48,154
rr,3018,1,72,41,146
rr,3018,1,73,41,164
rr,3018,1,74,69,164
rr,3018,1,75,80,198
rr,3018,1,76,55,217
rr,3018,1,77,65,180
rr,3018,1,78,46,167
rr,3018,1,79,31,109
rr,3018,1,80,50,115
rr,3018,1,81,54,146
