,estado,municipio,municipio_cod,zona,secao,candidato_13,candidato_22
261924,pr,ORTIGUEIRA,77275,167,1,115.0,113.0
261925,pr,ORTIGUEIRA,77275,167,2,113.0,108.0
261926,pr,ORTIGUEIRA,77275,167,3,130.0,118.0
261927,pr,ORTIGUEIRA,77275,167,4,126.0,119.0
261928,pr,ORTIGUEIRA,77275,167,5,104.0,99.0
261929,pr,ORTIGUEIRA,77275,167,6,110.0,106.0
261930,pr,ORTIGUEIRA,77275,167,7,127.0,100.0
261931,pr,ORTIGUEIRA,77275,167,8,129.0,99.0
261932,pr,ORTIGUEIRA,77275,167,9,118.0,92.0
261933,pr,ORTIGUEIRA,77275,167,10,190.0,64.0
261934,pr,ORTIGUEIRA,77275,167,11,183.0,82.0
261935,pr,ORTIGUEIRA,77275,167,13,142.0,77.0
261936,pr,ORTIGUEIRA,77275,167,14,133.0,73.0
261937,pr,ORTIGUEIRA,77275,167,15,50.0,93.0
261938,pr,ORTIGUEIRA,77275,167,16,96.0,108.0
261939,pr,ORTIGUEIRA,77275,167,17,114.0,154.0
261940,pr,ORTIGUEIRA,77275,167,18,106.0,156.0
261941,pr,ORTIGUEIRA,77275,167,19,116.0,166.0
261942,pr,ORTIGUEIRA,77275,167,20,172.0,125.0
261943,pr,ORTIGUEIRA,77275,167,21,138.0,136.0
261944,pr,ORTIGUEIRA,77275,167,25,157.0,138.0
261945,pr,ORTIGUEIRA,77275,167,29,125.0,93.0
261946,pr,ORTIGUEIRA,77275,167,30,195.0,59.0
261947,pr,ORTIGUEIRA,77275,167,35,107.0,56.0
261948,pr,ORTIGUEIRA,77275,167,36,137.0,112.0
261949,pr,ORTIGUEIRA,77275,167,38,87.0,101.0
261950,pr,ORTIGUEIRA,77275,167,39,82.0,114.0
261951,pr,ORTIGUEIRA,77275,167,41,175.0,110.0
261952,pr,ORTIGUEIRA,77275,167,48,224.0,105.0
261953,pr,ORTIGUEIRA,77275,167,49,159.0,51.0
261954,pr,ORTIGUEIRA,77275,167,51,156.0,55.0
261955,pr,ORTIGUEIRA,77275,167,54,73.0,103.0
261956,pr,ORTIGUEIRA,77275,167,56,149.0,78.0
261957,pr,ORTIGUEIRA,77275,167,58,199.0,87.0
261958,pr,ORTIGUEIRA,77275,167,60,163.0,124.0
261959,pr,ORTIGUEIRA,77275,167,63,146.0,72.0
261960,pr,ORTIGUEIRA,77275,167,65,79.0,89.0
261961,pr,ORTIGUEIRA,77275,167,67,96.0,91.0
261962,pr,ORTIGUEIRA,77275,167,69,71.0,57.0
261963,pr,ORTIGUEIRA,77275,167,72,140.0,59.0
261964,pr,ORTIGUEIRA,77275,167,73,126.0,73.0
261965,pr,ORTIGUEIRA,77275,167,74,131.0,61.0
261966,pr,ORTIGUEIRA,77275,167,78,107.0,93.0
261967,pr,ORTIGUEIRA,77275,167,81,135.0,160.0
261968,pr,ORTIGUEIRA,77275,167,82,129.0,105.0
261969,pr,ORTIGUEIRA,77275,167,83,111.0,154.0
261970,pr,ORTIGUEIRA,77275,167,84,164.0,106.0
261971,pr,ORTIGUEIRA,77275,167,85,118.0,98.0
261972,pr,ORTIGUEIRA,77275,167,86,116.0,104.0
261973,pr,ORTIGUEIRA,77275,167,88,87.0,171.0
261974,pr,ORTIGUEIRA,77275,167,89,107.0,129.0
261975,pr,ORTIGUEIRA,77275,167,90,110.0,140.0
261976,pr,ORTIGUEIRA,77275,167,91,92.0,94.0
261977,pr,ORTIGUEIRA,77275,167,93,129.0,77.0
261978,pr,ORTIGUEIRA,77275,167,94,165.0,62.0
261979,pr,ORTIGUEIRA,77275,167,95,100.0,133.0
261980,pr,ORTIGUEIRA,77275,167,96,223.0,0.0
261981,pr,ORTIGUEIRA,77275,167,97,91.0,88.0
261982,pr,ORTIGUEIRA,77275,167,99,216.0,3.0
261983,pr,ORTIGUEIRA,77275,167,100,151.0,173.0
261984,pr,ORTIGUEIRA,77275,167,101,75.0,61.0
261985,pr,ORTIGUEIRA,77275,167,102,87.0,101.0
